id	RI	Na	Mg	Al	Si	K	Ca	Ba	Fe	class
100	151.761	13.89	3.6	1.36	72.73	0.48	7.83	0.0	0	build wind float
101	151.673	13.3	3.64	1.53	72.53	0.65	8.03	0.0	0.29	build wind non-float
102	152.365	15.79	1.83	1.31	70.43	0.31	8.61	1.68	0	headlamps
103	151.685	14.92	0	1.99	73.06	0	8.4	1.59	0	headlamps
104	151.658	14.8	0	1.99	73.11	0	8.28	1.71	0	headlamps
105	151.316	13.02	0	3.04	70.48	6.21	6.96	0.0	0	containers
106	151.709	13	3.47	1.79	72.72	0.66	8.18	0.0	0	build wind non-float
107	151.727	14.7	0	2.34	73.28	0	8.95	0.66	0	headlamps
108	151.898	13.58	3.35	1.23	72.08	0.59	8.91	0.0	0	build wind float
109	151.969	12.64	0	1.65	73.75	0.38	11.53	0.0	0	containers
110	15.182	12.62	2.76	0.83	73.81	0.35	9.42	0.0	0.2	build wind non-float
111	151.617	14.95	0	2.27	73.3	0	8.71	0.67	0	headlamps
112	151.911	13.9	3.73	1.18	72.12	0.06	8.89	0.0	0	build wind float
113	151.651	14.38	0	1.94	73.61	0	8.48	1.57	0	headlamps
114	151.694	12.86	3.58	1.31	72.61	0.61	8.79	0.0	0	vehic wind float
115	152.315	13.44	3.34	1.23	72.38	0.6	8.83	0.0	0	headlamps
116	152.068	13.55	2.09	1.67	72.18	0.53	9.57	0.27	0.17	build wind non-float
117	151.838	14.32	3.26	2.22	71.25	1.46	5.79	1.63	0	headlamps
118	151.818	13.72	0	0.56	74.45	0	10.99	0.0	0	build wind non-float
119	151.769	12.45	2.71	1.29	73.7	0.56	9.06	0.0	0.24	build wind float
120	15.166	12.99	3.18	1.23	72.97	0.58	8.81	0.0	0.24	build wind non-float
121	151.589	12.88	3.43	1.4	73.28	0.69	8.05	0.0	0.24	build wind float
122	15.241	13.83	2.9	1.17	71.15	0.08	10.79	0.0	0	build wind non-float
123	152.725	13.8	3.15	0.66	70.57	0.08	11.64	0.0	0	build wind non-float
124	152.119	12.97	0.33	1.51	73.39	0.13	11.27	0.0	0.28	containers
125	151.748	12.86	3.56	1.27	73.21	0.54	8.38	0.0	0.17	build wind float
126	151.653	11.95	0	1.19	75.18	2.7	8.93	0.0	0	headlamps
127	151.623	14.14	0	2.88	72.61	0.08	9.18	1.06	0	headlamps
128	152.101	13.64	4.49	1.1	71.78	0.06	8.75	0.0	0	build wind float
129	151.763	12.61	3.59	1.31	73.29	0.58	8.5	0.0	0	build wind float
130	151.596	13.02	3.56	1.54	73.11	0.72	7.9	0.0	0	build wind non-float
131	151.674	12.79	3.52	1.54	73.36	0.66	7.9	0.0	0	build wind non-float
132	152.065	14.36	0	2.02	73.42	0	8.44	1.64	0	headlamps
133	151.768	12.65	3.56	1.3	73.08	0.61	8.69	0.0	0.14	build wind float
134	152.369	13.44	0	1.58	72.22	0.32	12.24	0.0	0	containers
135	151.756	13.15	3.61	1.05	73.24	0.57	8.24	0.0	0	build wind float
136	151.754	13.48	3.74	1.17	72.99	0.59	8.03	0.0	0	build wind float
137	151.711	12.89	3.62	1.57	72.96	0.61	8.11	0.0	0	build wind non-float
138	15.221	13.73	3.84	0.72	71.76	0.17	9.74	0.0	0	build wind float
139	151.594	13.09	3.52	1.55	72.87	0.68	8.05	0.0	0.09	build wind non-float
140	151.784	12.68	3.67	1.16	73.11	0.61	8.7	0.0	0	build wind float
141	151.909	13.89	3.53	1.32	71.81	0.51	8.78	0.11	0	build wind float
142	151.977	13.81	3.58	1.32	71.72	0.12	8.67	0.69	0	build wind float
143	151.666	12.86	0	1.83	73.88	0.97	10.17	0.0	0	containers
144	151.631	13.34	3.57	1.57	72.87	0.61	7.89	0.0	0	build wind non-float
145	151.872	12.93	3.66	1.56	72.51	0.58	8.55	0.0	0.12	build wind non-float
146	151.708	13.72	3.68	1.81	72.06	0.64	7.88	0.0	0	build wind non-float
147	152.081	13.78	2.28	1.43	71.99	0.49	9.85	0.0	0.17	build wind non-float
148	151.574	14.86	3.67	1.74	71.87	0.16	7.36	0.0	0.12	build wind non-float
149	151.813	13.43	3.98	1.18	72.49	0.58	8.15	0.0	0	build wind non-float
150	151.131	13.69	3.2	1.81	72.81	1.76	5.43	1.19	0	headlamps
151	152.227	14.17	3.81	0.78	71.35	0	9.69	0.0	0	build wind float
152	152.614	13.7	0	1.36	71.24	0.19	13.44	0.0	0.1	build wind non-float
153	151.811	13.33	3.85	1.25	72.78	0.52	8.12	0.0	0	build wind non-float
154	151.655	13.41	3.39	1.28	72.64	0.52	8.65	0.0	0	vehic wind float
155	151.751	12.81	3.57	1.35	73.02	0.62	8.59	0.0	0	build wind float
156	151.508	15.15	0	2.25	73.5	0	8.34	0.63	0	headlamps
157	151.915	12.73	1.85	1.86	72.69	0.6	10.09	0.0	0	containers
158	151.966	14.77	3.75	0.29	72.02	0.03	9	0.0	0	build wind float
159	151.844	13.25	3.76	1.32	72.4	0.58	8.42	0.0	0	build wind non-float
160	152.664	11.23	0	0.77	73.21	0	14.68	0.0	0	build wind non-float
161	152.172	13.51	3.86	0.88	71.79	0.23	9.54	0.0	0.11	build wind float
162	151.602	14.85	0	2.38	73.28	0	8.76	0.64	0.09	headlamps
163	151.321	13	0	3.02	70.7	6.21	6.93	0.0	0	containers
164	152.739	11.02	0	0.75	73.08	0	14.96	0.0	0	build wind non-float
165	152.213	14.21	3.82	0.47	71.77	0.11	9.57	0.0	0	build wind float
166	151.747	12.84	3.5	1.14	73.27	0.56	8.55	0.0	0	build wind float
167	151.839	12.85	3.67	1.24	72.57	0.62	8.68	0.0	0.35	build wind non-float
168	151.646	13.41	3.55	1.25	72.81	0.68	8.1	0.0	0	build wind non-float
169	151.609	15.01	0	2.51	73.05	0.05	8.83	0.53	0	headlamps
170	151.667	12.94	3.61	1.26	72.75	0.56	8.6	0.0	0	build wind non-float
171	151.588	13.12	3.41	1.58	73.26	0.07	8.39	0.0	0.19	build wind non-float
172	152.667	13.99	3.7	0.71	71.57	0.02	9.82	0.0	0.1	build wind float
173	151.831	14.39	0	1.82	72.86	1.41	6.47	2.88	0	headlamps
174	151.918	14.04	3.58	1.37	72.08	0.56	8.3	0.0	0	build wind float
175	151.613	13.88	1.78	1.79	73.1	0	8.67	0.76	0	headlamps
176	152.196	14.36	3.85	0.89	71.36	0.15	9.15	0.0	0	build wind float
177	151.824	12.87	3.48	1.29	72.95	0.6	8.43	0.0	0	build wind float
178	152.151	11.03	1.71	1.56	73.44	0.58	11.62	0.0	0	containers
179	151.969	14.56	0	0.56	73.48	0	11.22	0.0	0	tableware
180	151.618	13.01	3.5	1.48	72.89	0.6	8.12	0.0	0	build wind non-float
181	151.645	13.4	3.49	1.52	72.65	0.67	8.08	0.0	0.1	build wind non-float
182	151.796	13.5	3.36	1.63	71.94	0.57	8.81	0.0	0.09	vehic wind float
183	152.222	14.43	0	1	72.67	0.1	11.52	0.0	0.08	build wind non-float
184	151.783	12.69	3.54	1.34	72.95	0.57	8.75	0.0	0	build wind float
185	151.711	14.23	0	2.08	73.36	0	8.62	1.67	0	headlamps
186	151.736	12.78	3.62	1.29	72.79	0.59	8.7	0.0	0	build wind float
187	151.808	13.43	2.87	1.19	72.84	0.55	9.03	0.0	0	build wind float
188	15.167	13.24	3.57	1.38	72.7	0.56	8.44	0.0	0.1	vehic wind float
189	152.043	13.38	0	1.4	72.25	0.33	12.5	0.0	0	containers
190	1.519	13.49	3.48	1.35	71.95	0.55	9	0.0	0	build wind float
191	151.778	13.21	2.81	1.29	72.98	0.51	9.02	0.0	0.09	build wind float
192	151.905	14	2.39	1.56	72.37	0	9.57	0.0	0	tableware
193	151.531	14.38	0	2.66	73.1	0.04	9.08	0.64	0	headlamps
194	151.916	14.15	0	2.09	72.74	0	10.88	0.0	0	tableware
195	151.841	13.02	3.62	1.06	72.34	0.64	9.13	0.0	0.15	build wind non-float
196	15.159	13.02	3.58	1.51	73.12	0.69	7.96	0.0	0	build wind non-float
197	151.593	13.25	3.45	1.43	73.17	0.61	7.86	0.0	0	build wind non-float
198	15.164	12.55	3.48	1.87	73.23	0.63	8.08	0.0	0.09	build wind non-float
199	151.663	12.93	3.54	1.62	72.96	0.64	8.03	0.0	0.21	build wind non-float
200	15.169	13.33	3.54	1.61	72.54	0.68	8.11	0.0	0	build wind non-float
201	151.869	13.19	3.37	1.18	72.72	0.57	8.83	0.0	0.16	build wind float
202	151.776	13.53	3.41	1.52	72.04	0.58	8.79	0.0	0	vehic wind float
203	151.775	12.85	3.48	1.23	72.97	0.61	8.56	0.09	0.22	build wind float
204	15.186	13.36	3.43	1.43	72.26	0.51	8.6	0.0	0	build wind non-float
205	15.172	13.38	3.5	1.15	72.85	0.5	8.43	0.0	0	build wind float
206	151.623	14.2	0	2.79	73.46	0.04	9.04	0.4	0.09	headlamps
207	151.618	13.53	3.55	1.54	72.99	0.39	7.78	0.0	0	build wind float
208	151.761	12.81	3.54	1.23	73.24	0.58	8.39	0.0	0	build wind float
209	15.161	13.42	3.4	1.22	72.69	0.59	8.32	0.0	0	vehic wind float
210	151.592	12.86	3.52	2.12	72.66	0.69	7.97	0.0	0	build wind non-float
211	151.613	13.92	3.52	1.25	72.88	0.37	7.94	0.0	0.14	build wind non-float
212	151.689	12.67	2.88	1.71	73.21	0.73	8.54	0.0	0	build wind non-float
213	151.852	14.09	2.19	1.66	72.67	0	9.32	0.0	0	tableware
